Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change,,,,,
SUNPHARMA,544,545.45,522.25,528,-11.95,-2.21,31.65,169.2,730.95,432.7,-25.61,-4.5,,,JSWENERGY,,DRREDDY
HINDALCO,240.5,241.35,233.55,234.95,-5.5,-2.29,72.09,171.96,278.55,147.85,33.68,-12.14,,,ITC,,SUNPHARMA
HEROMOTOCO,"3,642.00","3,680.00","3,547.50","3,550.00",-83.65,-2.3,2.22,80.83,"4,091.95","2,958.00",12.13,-7.79,,,OIL,,HINDALCO
SBIN,321.5,322.3,311.25,312.9,-7.45,-2.33,164.26,521.92,351.3,241.1,21.11,2.32,,,LUPIN,,HEROMOTOCO
AUROPHARMA,696,702.6,668.2,674.95,-17.9,-2.58,25.52,175.85,809.45,503.05,-8.89,-11.19,,,CAPF,,SBIN
BAJAJ-AUTO,"3,338.00","3,339.30","3,202.20","3,210.80",-94.7,-2.86,4.39,144.06,"3,373.80","2,551.00",19.58,-1.42,,,BRITANNIA,,AUROPHARMA
GAIL,470.1,473.4,449.3,454,-14.4,-3.07,23.67,110,479.35,308,6.89,-2.41,,,BHARATFIN,,BAJAJ-AUTO
VEDL,297.45,297.45,285.5,285.9,-9.55,-3.23,89.76,261.94,346.4,204.8,24.39,-13.85,,,LT,,GAIL
ADANIPORTS,400.9,404.8,382.05,385,-13,-3.27,18.37,72.72,443.3,257.25,38.54,-10.54,,,IDFCBANK,,VEDL
IBULHSGFIN,"1,219.40","1,224.00","1,132.30","1,160.00",-45.85,-3.8,39.04,462.09,"1,373.95",616.55,51.62,-6.76,,,PCJEWELLER,,ADANIPORTS
TECHM,490,491.8,469.1,469.55,-19.7,-4.03,19.62,94.24,515.25,356.65,-3.23,-2.59,,,CIPLA,,IBULHSGFIN
,,,,,,,,,,,,,,,ARVIND,,TECHM
,,,,,,,,,,,,,,,JISLJALEQS,,#N/A
,,,,,,,,,,,,,,,INDUSINDBK,,#N/A
,,,,,,,,,,,,,,,EXIDEIND,,#N/A
,,,,,,,,,,,,,,,DALMIABHA,,#N/A
,,,,,,,,,,,,,,,KSCL,,#N/A
,,,,,,,,,,,,,,,HINDZINC,,#N/A
,,,,,,,,,,,,,,,DIVISLAB,,#N/A
,,,,,,,,,,,,,,,TORNTPHARM,,#N/A
,,,,,,,,,,,,,,,FORTIS,,#N/A
,,,,,,,,,,,,,,,BATAINDIA,,#N/A
,,,,,,,,,,,,,,,ICICIBANK,,#N/A
,,,,,,,,,,,,,,,ULTRACEMCO,,#N/A
,,,,,,,,,,,,,,,COLPAL,,#N/A
,,,,,,,,,,,,,,,RAMCOCEM,,#N/A
,,,,,,,,,,,,,,,MUTHOOTFIN,,#N/A
,,,,,,,,,,,,,,,GRASIM,,#N/A
,,,,,,,,,,,,,,,HDFC,,#N/A
,,,,,,,,,,,,,,,CADILAHC,,#N/A
,,,,,,,,,,,,,,,DABUR,,#N/A
,,,,,,,,,,,,,,,ASIANPAINT,,#N/A
,,,,,,,,,,,,,,,NATIONALUM,,#N/A
,,,,,,,,,,,,,,,JUBLFOOD,,#N/A
,,,,,,,,,,,,,,,BHARATFORG,,#N/A
,,,,,,,,,,,,,,,INDIANB,,#N/A
,,,,,,,,,,,,,,,KAJARIACER,,#N/A
,,,,,,,,,,,,,,,BEL,,#N/A
,,,,,,,,,,,,,,,PTC,,#N/A
,,,,,,,,,,,,,,,NBCC,,#N/A
,,,,,,,,,,,,,,,RELINFRA,,#N/A
,,,,,,,,,,,,,,,GODFRYPHLP,,#N/A
,,,,,,,,,,,,,,,BALKRISIND,,#N/A
,,,,,,,,,,,,,,,BHEL,,#N/A
,,,,,,,,,,,,,,,TATAMTRDVR,,#N/A
,,,,,,,,,,,,,,,JSWSTEEL,,#N/A
,,,,,,,,,,,,,,,TATAGLOBAL,,#N/A
,,,,,,,,,,,,,,,SUZLON,,#N/A
,,,,,,,,,,,,,,,BAJFINANCE,,#N/A
,,,,,,,,,,,,,,,WIPRO,,#N/A
,,,,,,,,,,,,,,,IDEA,,#N/A
,,,,,,,,,,,,,,,SREINFRA,,#N/A
,,,,,,,,,,,,,,,PFC,,#N/A
,,,,,,,,,,,,,,,MGL,,#N/A
,,,,,,,,,,,,,,,NHPC,,#N/A
,,,,,,,,,,,,,,,COALINDIA,,#N/A
,,,,,,,,,,,,,,,TATAMOTORS,,#N/A
,,,,,,,,,,,,,,,NCC,,#N/A
,,,,,,,,,,,,,,,RELIANCE,,#N/A
,,,,,,,,,,,,,,,KTKBANK,,#N/A
,,,,,,,,,,,,,,,IDBI,,#N/A
,,,,,,,,,,,,,,,BERGEPAINT,,#N/A
,,,,,,,,,,,,,,,IOC,,#N/A
,,,,,,,,,,,,,,,PEL,,#N/A
,,,,,,,,,,,,,,,BANKBARODA,,#N/A
,,,,,,,,,,,,,,,POWERGRID,,#N/A
,,,,,,,,,,,,,,,BALRAMCHIN,,#N/A
,,,,,,,,,,,,,,,CENTURYTEX,,#N/A
,,,,,,,,,,,,,,,DISHTV,,#N/A
,,,,,,,,,,,,,,,VGUARD,,#N/A
,,,,,,,,,,,,,,,RPOWER,,#N/A
,,,,,,,,,,,,,,,MINDTREE,,#N/A
,,,,,,,,,,,,,,,INFY,,#N/A
,,,,,,,,,,,,,,,CESC,,#N/A
,,,,,,,,,,,,,,,TATACHEM,,#N/A
,,,,,,,,,,,,,,,TITAN,,#N/A
,,,,,,,,,,,,,,,BEML,,#N/A
,,,,,,,,,,,,,,,BPCL,,#N/A
,,,,,,,,,,,,,,,BHARTIARTL,,#N/A
,,,,,,,,,,,,,,,LICHSGFIN,,#N/A
,,,,,,,,,,,,,,,ORIENTBANK,,#N/A
,,,,,,,,,,,,,,,EICHERMOT,,#N/A
,,,,,,,,,,,,,,,GLENMARK,,#N/A
,,,,,,,,,,,,,,,NIITTECH,,#N/A
,,,,,,,,,,,,,,,ICICIPRULI,,#N/A
,,,,,,,,,,,,,,,FEDERALBNK,,#N/A
,,,,,,,,,,,,,,,HINDPETRO,,#N/A
,,,,,,,,,,,,,,,HCLTECH,,#N/A
,,,,,,,,,,,,,,,TATASTEEL,,#N/A
,,,,,,,,,,,,,,,TATACOMM,,#N/A
,,,,,,,,,,,,,,,ZEEL,,#N/A
,,,,,,,,,,,,,,,GSFC,,#N/A
,,,,,,,,,,,,,,,MOTHERSUMI,,#N/A
,,,,,,,,,,,,,,,SIEMENS,,#N/A
,,,,,,,,,,,,,,,HINDUNILVR,,#N/A
,,,,,,,,,,,,,,,BOSCHLTD,,#N/A
,,,,,,,,,,,,,,,RNAVAL,,#N/A
,,,,,,,,,,,,,,,IDFC,,#N/A
,,,,,,,,,,,,,,,DRREDDY,,#N/A
