RT,SN,SYMBOL,TYPE,DQG,DQ3,TP
20,1725,WELCORP,EQ,2005014,891947,44.49
20,1726,WELENT,EQ,437972,236920,54.09
20,1727,WELINV,EQ,185,108,58.38
20,1728,WELSPUNIND,EQ,1695785,986058,58.15
20,1729,WENDT,EQ,653,396,60.64
20,1730,WHEELS,EQ,5605,4082,72.83
20,1731,WHIRLPOOL,EQ,36121,19703,54.55
20,1732,WILLAMAGOR,EQ,1521,1150,75.61
20,1733,WINDMACHIN,EQ,193494,63716,32.93
20,1734,WIPRO,EQ,4225138,2473568,58.54
20,1735,WOCKPHARMA,EQ,1153879,113291,9.82
20,1736,WONDERLA,EQ,29973,18889,63.02
20,1737,WSTCSTPAPR,EQ,145290,51317,35.32
20,1738,XCHANGING,EQ,7019,5000,71.24
20,1739,XPROINDIA,EQ,3831,3112,81.23
20,1740,YESBANK,EQ,16301075,6584057,40.39
20,1741,ZEEL,EQ,1462613,672885,46.01
20,1742,ZEEL,P2,1078,1004,93.14
20,1743,ZEELEARN,EQ,515727,229879,44.57
20,1744,ZEEMEDIA,EQ,149339,110791,74.19
20,1745,ZENSARTECH,EQ,174638,35743,20.47
20,1746,ZENTEC,EQ,23971,18782,78.35
20,1747,ZICOM,EQ,28496,24259,85.13
20,1748,ZODIACLOTH,EQ,1457,732,50.24
20,1749,ZODJRDMKJ,EQ,834,440,52.76
20,1750,ZOTA,SM,27000,11500,42.59
20,1751,ZUARI,EQ,27225,14456,53.10
20,1752,ZUARIGLOB,EQ,56832,33656,59.22
20,1753,ZYDUSWELL,EQ,39855,20045,50.29
