Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"RAMCOCEM","676.55","687.00","666.65","680.35","-3.35","-0.49","2.97","20.14","879.10","620.10","2.12","-1.23"
"TATAPOWER","71.80","72.50","70.60","71.70","-0.35","-0.49","18.80","13.48","101.80","66.55","-8.95","5.75"
"PVR","1,316.00","1,342.00","1,301.10","1,313.10","-6.80","-0.52","4.11","54.30","1,568.45","1,062.80","4.59","11.98"
"MOTHERSUMI","300.00","303.65","298.05","300.30","-1.60","-0.53","29.74","89.36","395.60","274.25","-4.44","0.79"
"BHARATFIN","1,196.80","1,196.80","1,182.00","1,192.70","-6.85","-0.57","4.26","50.61","1,234.80","852.60","34.28","-0.05"
"SBIN","300.60","305.70","299.00","300.60","-1.85","-0.61","188.70","569.05","351.30","232.35","7.74","12.65"
"MUTHOOTFIN","405.00","411.30","403.50","406.20","-2.50","-0.61","3.40","13.88","525.50","363.50","-8.61","-0.84"
"IBULHSGFIN","1,273.00","1,284.25","1,255.60","1,266.00","-7.85","-0.62","8.21","104.25","1,440.00","1,081.00","3.62","0.62"
"BAJAJFINSV","7,092.00","7,129.00","7,025.25","7,048.05","-44.05","-0.62","1.28","90.92","7,200.00","4,500.00","31.71","3.23"
"MARUTI","9,240.00","9,279.90","9,142.10","9,163.00","-60.30","-0.65","4.01","369.10","9,996.40","7,483.60","20.99","-6.81"
"PIDILITIND","1,169.00","1,173.60","1,149.60","1,153.00","-7.65","-0.66","5.34","61.97","1,195.40","751.30","41.32","7.06"
"LT","1,353.70","1,363.00","1,341.00","1,343.00","-9.05","-0.67","35.07","474.28","1,470.00","1,114.40","19.47","1.44"
"TATAMOTORS","257.00","258.65","255.00","255.15","-1.75","-0.68","87.03","223.50","468.00","243.10","-32.85","-1.41"
"CHOLAFIN","1,471.90","1,482.90","1,450.00","1,453.25","-10.05","-0.69","1.76","25.78","1,760.05","1,051.95","26.69","-3.73"
"LICHSGFIN","576.00","583.80","566.15","570.85","-3.95","-0.69","39.26","226.70","689.55","455.40","-13.47","6.19"
"MCX","835.00","845.00","827.15","832.00","-5.95","-0.71","3.77","31.48","1,159.85","665.10","-17.61","8.14"
"ULTRACEMCO","4,331.00","4,399.00","4,280.00","4,315.00","-32.25","-0.74","2.42","104.77","4,599.90","3,563.00","9.20","4.31"
"DRREDDY","2,475.00","2,477.40","2,425.60","2,445.00","-18.60","-0.75","5.77","141.21","2,615.00","1,887.00","20.39","17.68"
"MARICO","382.35","387.85","376.30","379.00","-2.90","-0.76","36.34","139.10","387.85","284.15","20.34","7.20"
"REPCOHOME","580.20","594.50","574.75","578.00","-4.55","-0.78","2.08","12.16","734.00","510.00","-11.01","-4.23"
"BANKINDIA","93.50","94.70","92.60","93.10","-0.75","-0.80","55.45","51.85","216.80","76.50","-35.26","5.98"
"TV18BRDCST","48.50","48.80","47.35","47.95","-0.40","-0.83","37.01","17.80","70.80","35.60","31.73","0.52"
"IDFCBANK","47.35","47.50","46.65","46.90","-0.40","-0.85","56.88","26.72","70.40","35.80","-15.80","21.19"
"CAPF","631.30","640.00","625.60","628.75","-5.45","-0.86","4.71","29.77","901.85","475.00","-12.31","20.80"
"SAIL","75.70","76.25","74.50","75.00","-0.65","-0.86","156.35","117.98","101.45","52.85","23.56","0.67"
"SYNDIBANK","39.85","39.95","39.40","39.40","-0.35","-0.88","20.49","8.12","95.90","37.30","-39.01","-3.31"
"CONCOR","643.00","649.10","633.25","637.45","-5.70","-0.89","3.04","19.50","750.00","583.83","-49.33","-3.89"
"HAVELLS","706.40","706.40","693.40","700.90","-6.35","-0.90","7.38","51.56","708.80","450.00","47.42","17.09"
"CIPLA","658.00","658.00","645.00","651.90","-6.05","-0.92","19.04","123.58","665.00","507.20","16.59","3.91"
"ORIENTBANK","81.20","83.00","80.60","80.65","-0.75","-0.92","36.17","29.57","159.90","65.60","-34.70","9.06"
"TATACOMM","549.30","550.00","539.35","544.00","-5.20","-0.95","1.87","10.15","754.00","534.50","-14.67","-7.44"
"IDFC","51.70","51.85","50.85","51.25","-0.50","-0.97","32.80","16.83","68.00","42.90","-6.56","12.64"
"INDUSINDBK","1,958.75","1,958.75","1,921.55","1,937.40","-19.80","-1.01","9.39","181.61","2,038.00","1,572.40","16.65","-0.51"
"GAIL","385.00","389.00","376.00","380.30","-3.90","-1.02","43.06","164.34","399.40","279.16","-1.34","3.96"
"CUMMINSIND","766.95","777.60","756.00","762.25","-7.85","-1.02","5.83","44.67","984.00","613.20","-13.45","13.74"
"AMARAJABAT","871.00","881.90","860.00","864.70","-9.05","-1.04","5.39","46.91","908.45","664.55","12.69","8.15"
"BIOCON","612.75","621.65","602.70","606.40","-6.45","-1.05","11.43","69.79","696.60","328.00","83.70","5.57"
"ANDHRABANK","32.50","33.20","32.40","32.60","-0.35","-1.06","26.47","8.66","73.45","29.25","-36.64","1.88"
"TATAMTRDVR","140.00","140.95","138.65","138.90","-1.50","-1.07","11.06","15.46","261.90","133.50","-38.69","-2.87"
"BHARATFORG","651.75","659.35","640.85","644.95","-7.30","-1.12","12.05","78.34","798.00","560.30","10.63","6.37"
"ADANIENT","210.00","214.50","207.35","208.40","-2.45","-1.16","78.20","164.66","223.50","100.85","89.37","12.01"
"CASTROLIND","160.00","160.65","157.50","157.90","-1.90","-1.19","9.12","14.49","214.48","152.70","-59.46","-4.79"
"IDBI","61.90","62.60","61.00","61.35","-0.75","-1.21","76.14","47.00","91.50","47.00","12.26","3.11"
"TECHM","729.50","737.00","712.60","717.70","-8.95","-1.23","36.26","262.93","738.00","410.55","66.83","11.88"
"ICICIPRULI","378.00","380.00","372.70","374.25","-4.70","-1.24","8.12","30.53","462.20","347.25","-11.35","-2.98"
"INFY","1,396.50","1,401.90","1,376.10","1,379.35","-18.05","-1.29","35.27","488.94","1,437.65","873.65","54.50","0.16"
"NESTLEIND","11,486.00","11,541.75","11,303.30","11,394.40","-149.65","-1.30","0.49","56.31","11,585.00","6,596.00","72.48","10.73"
"IDEA","52.90","53.10","51.65","52.10","-0.70","-1.33","97.48","50.94","118.90","48.30","-42.43","-7.62"
"GODREJCP","1,412.00","1,438.00","1,389.40","1,399.20","-20.45","-1.44","4.81","67.84","1,451.90","883.00","54.62","3.20"
"RPOWER","34.45","34.45","33.25","33.55","-0.50","-1.47","69.50","23.51","65.20","28.80","-14.41","4.84"
"NIITTECH","1,362.00","1,368.00","1,330.05","1,338.00","-20.15","-1.48","9.48","127.28","1,393.95","485.10","169.79","9.78"
"MFSL","475.40","479.25","464.20","469.00","-7.10","-1.49","2.55","11.97","652.90","403.25","-22.63","0.25"
"DABUR","483.00","483.85","473.65","476.50","-7.45","-1.54","24.52","117.18","489.35","296.50","59.44","27.51"
"SUNPHARMA","638.25","639.80","618.70","629.70","-9.95","-1.56","79.09","497.27","645.50","435.00","34.21","11.91"
"AJANTPHARM","1,238.75","1,247.70","1,216.35","1,225.30","-19.55","-1.57","1.99","24.54","1,595.00","895.85","2.82","18.83"
"SRTRANSFIN","1,326.00","1,332.35","1,290.00","1,298.70","-20.65","-1.57","11.87","154.96","1,668.75","960.50","33.71","2.68"
"ADANIPOWER","31.90","32.15","30.90","31.40","-0.50","-1.57","193.30","60.76","47.80","15.15","10.76","21.24"
"COLPAL","1,190.00","1,190.00","1,155.50","1,172.00","-19.60","-1.64","8.67","101.65","1,281.70","1,015.10","7.80","4.85"
"HCC","15.20","15.50","14.90","14.95","-0.25","-1.64","158.53","24.05","44.95","9.45","-56.41","22.04"
"RELCAPITAL","441.00","450.45","435.55","437.95","-7.40","-1.66","33.84","149.52","879.90","334.30","-42.92","15.83"
"TATAGLOBAL","234.50","237.20","230.20","231.50","-3.95","-1.68","18.38","42.89","328.75","189.15","17.78","-6.01"
"VGUARD","215.00","216.50","209.40","211.65","-3.65","-1.70","7.58","16.14","254.90","177.05","15.66","2.67"
"NHPC","25.80","25.90","25.25","25.35","-0.45","-1.74","15.94","4.08","34.50","22.35","-14.65","5.19"
"ICICIBANK","334.40","335.50","327.30","329.85","-5.85","-1.74","178.06","588.95","365.70","255.00","10.47","20.23"
"GMRINFRA","19.50","19.60","18.90","19.10","-0.35","-1.80","179.11","34.32","25.05","14.55","11.05","2.14"
"TATAELXSI","1,447.40","1,454.20","1,409.70","1,420.00","-26.40","-1.83","3.73","53.18","1,490.90","792.30","73.13","3.00"
"BEML","822.00","832.80","805.60","808.75","-15.50","-1.88","6.45","52.76","1,947.00","737.30","-55.17","3.74"
"CANBK","279.40","284.50","274.70","276.00","-5.30","-1.88","58.64","163.55","463.70","216.55","-17.89","9.18"
"BRITANNIA","6,890.00","6,890.00","6,765.00","6,770.00","-130.15","-1.89","1.38","93.98","6,934.35","4,142.20","59.40","4.69"
"MCDOWELL-N","646.20","649.90","628.35","632.00","-12.15","-1.89","12.06","76.92","801.03","468.01","-74.41","8.55"
"BANKBARODA","148.45","151.70","146.65","147.00","-2.85","-1.90","98.47","146.35","206.65","109.50","4.29","10.90"
"KTKBANK","121.00","122.10","118.45","119.00","-2.30","-1.90","18.03","21.62","171.60","105.10","-17.59","5.64"
"HEROMOTOCO","3,277.40","3,287.95","3,202.10","3,220.00","-64.75","-1.97","3.21","103.73","4,091.95","3,033.75","-17.20","3.60"
"ADANIPORTS","385.00","387.80","375.00","376.80","-7.70","-2.00","20.85","79.28","452.35","350.45","-2.13","-4.02"
"CESC","1,005.00","1,011.00","983.00","985.00","-20.40","-2.03","6.90","68.71","1,190.00","861.35","4.79","6.79"
"M&MFIN","473.80","476.40","459.25","463.80","-9.60","-2.03","23.62","109.94","534.00","386.10","12.98","-3.93"
"DCBBANK","174.00","174.35","168.75","170.10","-3.85","-2.21","18.76","32.02","206.50","155.05","-7.30","3.72"
"JUSTDIAL","569.00","572.05","553.00","554.65","-12.85","-2.26","15.58","87.22","647.00","350.30","54.20","-1.41"
"WOCKPHARMA","654.90","654.90","631.50","639.10","-15.15","-2.32","11.54","74.06","1,012.00","545.05","14.37","11.43"
"GRANULES","115.25","115.45","112.50","113.15","-2.70","-2.33","36.68","41.67","150.00","71.55","-11.84","23.59"
