Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,20082018,472205718,0001749
Trade Date <20-AUG-2018>,Settlement Type <N>,Settlement No <2018159>,Settlement Date <23-AUG-2018>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,56249,30838,54.82
20,2,21STCENMGM,EQ,1183,1017,85.97
20,3,3IINFOTECH,EQ,2134223,1391506,65.20
20,4,3MINDIA,EQ,14862,12770,85.92
20,5,5PAISA,EQ,1007,713,70.80
20,6,63MOONS,EQ,219017,73593,33.60
20,7,8KMILES,EQ,164852,108467,65.80
20,8,A2ZINFRA,EQ,365178,284131,77.81
20,9,AARTIDRUGS,EQ,10570,8692,82.23
20,10,AARTIIND,EQ,13310,8802,66.13
20,11,AARVEEDEN,EQ,8721,4887,56.04
20,12,ABAN,EQ,764019,123753,16.20
20,13,ABB,EQ,242538,138483,57.10
20,14,ABBOTINDIA,EQ,6255,3842,61.42
20,15,ABCAPITAL,EQ,1497070,779801,52.09
20,16,ABFRL,EQ,2358440,527548,22.37
20,17,ACC,EQ,921054,252769,27.44
20,18,ACCELYA,EQ,14401,9582,66.54
20,19,ACE,EQ,198848,104246,52.42
20,20,ADANIENT,EQ,19808480,3446665,17.40
20,21,ADANIGREEN,EQ,585571,320968,54.81
20,22,ADANIPORTS,EQ,1280487,289367,22.60
20,23,ADANIPOWER,EQ,18974468,3963578,20.89
20,24,ADANITRANS,EQ,1529644,768802,50.26
20,25,ADFFOODS,EQ,63977,35960,56.21
20,26,ADHUNIKIND,EQ,3029,2184,72.10
20,27,ADLABS,EQ,46671,31818,68.18
20,28,ADORWELD,EQ,20534,18523,90.21
20,29,ADSL,EQ,7624,5509,72.26
20,30,ADVANIHOTR,EQ,6916,5455,78.88
20,31,ADVENZYMES,EQ,66489,35347,53.16
20,32,AEGISCHEM,EQ,80389,47341,58.89
20,33,AFL,EQ,70519,49696,70.47
20,34,AGARIND,EQ,931,696,74.76
20,35,AGCNET,EQ,4226,1912,45.24
20,36,AGLSL,EQ,311,158,50.80
20,37,AGRITECH,EQ,11478,9033,78.70
20,38,AGROPHOS,SM,126000,84000,66.67
20,39,AHIMSA,SM,6000,6000,100.00
20,40,AHLEAST,EQ,909,794,87.35
20,41,AHLUCONT,EQ,7004,5227,74.63
20,42,AHLWEST,EQ,274,151,55.11
20,43,AIAENG,EQ,23532,11499,48.87
20,44,AIFL,EQ,208916,67463,32.29
20,45,AIRAN,SM,12500,12500,100.00
20,46,AISL,SM,1200,1200,100.00
20,47,AJANTPHARM,EQ,203780,27437,13.46
20,48,AJMERA,EQ,19885,9872,49.65
20,49,AJOONI,SM,4000,4000,100.00
20,50,AKASH,SM,1000,1000,100.00
20,51,AKSHARCHEM,EQ,3367,2238,66.47
20,52,AKSHOPTFBR,EQ,618921,293867,47.48
20,53,AKZOINDIA,EQ,17372,16011,92.17
20,54,ALANKIT,EQ,760261,204203,26.86
20,55,ALBERTDAVD,EQ,44410,21461,48.32
20,56,ALBK,EQ,3548577,755769,21.30
20,57,ALEMBICLTD,EQ,523601,318681,60.86
20,58,ALICON,EQ,1867,1687,90.36
20,59,ALKALI,EQ,4769,3252,68.19
20,60,ALKEM,EQ,19417,9562,49.25
20,61,ALKYLAMINE,EQ,7861,7259,92.34
20,62,ALLCARGO,EQ,169261,69126,40.84
20,63,ALLSEC,EQ,2741,1519,55.42
20,64,ALPA,EQ,82052,40420,49.26
20,65,ALPHAGEO,EQ,12965,8070,62.24
20,66,AMARAJABAT,EQ,1429029,392678,27.48
