Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"KAJARIACER","417.00","461.00","416.45","457.40","44.10","10.67","53.76","241.53","767.70","406.00","-28.45","8.65"
"CUMMINSIND","714.00","759.90","713.75","755.00","46.40","6.55","29.05","214.81","984.00","613.20","-14.35","18.70"
"CESC","941.50","1,028.85","941.00","1,002.10","60.80","6.46","34.40","345.38","1,190.00","861.35","6.48","13.36"
"TORNTPOWER","233.85","250.50","233.35","248.75","14.85","6.35","26.68","65.48","307.35","207.40","17.56","10.31"
"NIITTECH","1,315.90","1,384.80","1,315.90","1,384.00","68.25","5.19","16.38","222.21","1,384.80","476.40","186.22","22.72"
"UPL","624.90","651.00","619.50","649.90","31.00","5.01","36.69","233.79","856.25","537.25","-19.84","2.82"
"GLENMARK","610.00","641.55","607.00","636.35","28.15","4.63","23.44","146.85","654.95","493.50","6.81","12.79"
"ADANIPOWER","32.00","33.20","31.60","33.00","1.45","4.60","259.22","83.57","47.80","15.15","18.28","32.26"
"AMBUJACEM","231.00","241.40","230.40","239.85","10.10","4.40","63.81","151.91","291.50","189.00","-12.59","21.14"
"TATAPOWER","69.80","73.00","69.70","72.90","2.85","4.07","40.52","28.92","101.80","66.55","-9.10","7.13"
"STAR","454.00","471.90","452.00","467.85","16.60","3.68","44.25","205.30","1,041.10","333.30","-48.14","29.12"
"CANFINHOME","328.00","345.00","327.40","337.10","10.75","3.29","25.42","86.05","589.89","308.40","-39.66","1.87"
"KTKBANK","120.35","125.40","119.05","123.60","3.65","3.04","63.97","78.83","171.60","105.10","-12.83","11.86"
"TECHM","695.00","717.10","694.40","708.50","20.55","2.99","79.19","561.80","729.50","410.55","64.35","9.24"
"INDIACEM","117.40","123.30","117.00","120.85","3.45","2.94","112.24","136.26","205.95","97.10","-31.97","12.94"
"RPOWER","33.55","34.30","33.00","34.25","0.95","2.85","58.30","19.53","65.20","28.80","-12.74","9.95"
"KSCL","618.65","636.50","612.45","632.90","16.95","2.75","6.86","43.15","637.70","431.20","16.43","4.70"
"PEL","2,790.00","2,862.30","2,785.00","2,848.00","76.20","2.75","3.74","105.57","3,018.70","2,275.00","8.83","11.61"
"MANAPPURAM","100.25","103.30","100.25","102.75","2.70","2.70","35.85","36.63","130.45","83.50","8.62","0.98"
"AJANTPHARM","1,205.00","1,238.50","1,195.20","1,234.70","31.35","2.61","6.00","73.33","1,595.00","895.85","6.97","18.35"
"ACC","1,604.00","1,650.95","1,604.00","1,639.95","40.65","2.54","10.68","174.56","1,869.95","1,255.65","-8.52","25.11"
"COALINDIA","286.15","292.60","285.00","291.20","7.15","2.52","91.42","266.09","316.95","235.85","22.12","11.27"
"CADILAHC","379.80","389.70","371.05","386.50","9.05","2.40","49.23","188.46","519.45","332.75","-18.33","7.53"
"LUPIN","872.00","891.90","865.00","889.15","19.90","2.29","34.31","301.29","1,090.00","723.65","-3.71","11.13"
"GRASIM","1,043.00","1,070.00","1,028.00","1,063.45","23.60","2.27","17.50","184.05","1,300.00","914.20","-4.32","15.42"
"DISHTV","70.95","73.00","70.40","72.50","1.55","2.18","38.75","27.98","86.90","63.70","-4.92","2.33"
"HINDZINC","280.00","287.00","279.00","286.30","6.05","2.16","6.69","18.92","340.20","260.65","-1.58","6.95"
"COLPAL","1,148.90","1,170.60","1,143.40","1,170.35","23.45","2.04","12.73","147.14","1,281.70","1,015.10","8.32","5.23"
"HCC","15.80","16.25","15.25","15.50","0.30","1.97","772.67","122.24","44.95","9.45","-53.87","48.33"
"MCX","854.10","880.90","853.00","871.00","16.85","1.97","5.41","47.07","1,159.85","665.10","-12.69","13.32"
"BEML","817.00","842.00","815.00","829.90","15.90","1.95","15.26","127.15","1,947.00","737.30","-54.72","9.83"
"AXISBANK","625.40","638.25","617.30","636.50","12.10","1.94","155.22","969.76","638.25","447.50","28.64","17.79"
"PTC","84.70","86.60","84.35","86.25","1.55","1.83","25.13","21.55","130.45","67.80","-22.30","23.74"
"LICHSGFIN","552.00","571.90","552.00","563.60","9.90","1.79","23.53","132.98","689.55","455.40","-13.08","8.09"
"DRREDDY","2,388.00","2,427.90","2,354.10","2,423.20","42.45","1.78","6.39","153.50","2,615.00","1,887.00","25.48","18.69"
"SYNDIBANK","39.25","40.05","39.05","39.85","0.65","1.66","30.91","12.23","95.90","37.30","-36.75","0.89"
"HCLTECH","1,001.80","1,014.00","998.35","1,004.65","16.40","1.66","49.20","493.91","1,108.00","824.85","14.94","-0.02"
"ZEEL","507.00","516.00","505.00","514.45","8.30","1.64","17.88","91.44","619.00","477.00","1.01","-0.02"
"KPIT","288.90","295.55","286.15","294.10","4.60","1.59","20.89","60.95","309.95","109.10","165.19","2.24"
"TATAELXSI","1,415.00","1,448.00","1,412.00","1,442.25","22.50","1.58","7.45","106.85","1,490.90","792.30","75.67","4.48"
"MUTHOOTFIN","398.60","408.20","394.85","404.65","6.05","1.52","4.15","16.67","525.50","363.50","-11.00","2.38"
"SUNPHARMA","626.90","639.45","620.50","635.40","9.05","1.44","77.52","489.75","639.45","435.00","37.97","13.11"
"IDBI","62.70","64.55","61.90","63.40","0.90","1.44","131.45","83.29","91.50","47.00","17.19","10.07"
"BIOCON","606.00","614.95","595.40","612.55","8.45","1.40","22.13","134.67","696.60","325.15","87.12","7.75"
