Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,16082018,493944695,0001764
Trade Date <16-AUG-2018>,Settlement Type <N>,Settlement No <2018157>,Settlement Date <21-AUG-2018>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1315,RSSOFTWARE,EQ,85204,36747,43.13
20,1316,RSWM,EQ,17248,13308,77.16
20,1317,RSYSTEMS,EQ,17275,10592,61.31
20,1318,RTNINFRA,EQ,1835315,736409,40.12
20,1319,RTNPOWER,EQ,5068261,2019288,39.84
20,1320,RUBYMILLS,EQ,2321,1357,58.47
20,1321,RUCHIRA,EQ,189441,61207,32.31
20,1322,RUCHISOYA,EQ,9857642,4603906,46.70
20,1323,RUPA,EQ,14241,6786,47.65
20,1324,RUSHIL,EQ,32115,11184,34.82
20,1325,SABEVENTS,EQ,659,659,100.00
20,1326,SABTN,EQ,13927,13927,100.00
20,1327,SADBHAV,EQ,166688,113200,67.91
20,1328,SADBHIN,EQ,6002,4603,76.69
20,1329,SAGCEM,EQ,1521,784,51.55
20,1330,SAIL,EQ,11227765,2366574,21.08
20,1331,SAKHTISUG,EQ,24182,12909,53.38
20,1332,SAKSOFT,EQ,522943,160811,30.75
20,1333,SAKUMA,EQ,67014,36270,54.12
20,1334,SALASAR,EQ,10932,7034,64.34
20,1335,SALONA,EQ,1684,1287,76.43
20,1336,SALORAINTL,EQ,305,270,88.52
20,1337,SALSTEEL,EQ,23631,20751,87.81
20,1338,SALZERELEC,EQ,12428,7888,63.47
20,1339,SAMBHAAV,EQ,7999,7461,93.27
20,1340,SANCO,EQ,40001,39383,98.46
20,1341,SANDESH,EQ,1121,799,71.28
20,1342,SANDHAR,EQ,12850,7934,61.74
20,1343,SANGAMIND,EQ,13642,5625,41.23
20,1344,SANGHIIND,EQ,107073,44091,41.18
20,1345,SANGHVIFOR,EQ,3187,2636,82.71
20,1346,SANGHVIMOV,EQ,116758,99495,85.21
20,1347,SANGINITA,SM,10000,10000,100.00
20,1348,SANOFI,EQ,9218,5544,60.14
20,1349,SANWARIA,EQ,1774343,678223,38.22
20,1350,SARDAEN,EQ,39855,18730,47.00
20,1351,SAREGAMA,EQ,38295,12903,33.69
20,1352,SARLAPOLY,EQ,69334,36856,53.16
20,1353,SARVESHWAR,SM,8000,8000,100.00
20,1354,SASKEN,EQ,7365,3149,42.76
20,1355,SASTASUNDR,EQ,1808,1233,68.20
20,1356,SATHAISPAT,EQ,4301,2910,67.66
20,1357,SATIN,EQ,104181,78387,75.24
20,1358,SBILIFE,EQ,310896,256503,82.50
20,1359,SBIN,EQ,31083900,11025001,35.47
20,1360,SBIN,N2,116,116,100.00
20,1361,SBIN,N5,556,512,92.09
20,1362,SCAPDVR,EQ,1291,1291,100.00
20,1363,SCHAEFFLER,EQ,2360,1691,71.65
20,1364,SCHAND,EQ,16412,14000,85.30
20,1365,SCHNEIDER,EQ,352450,188746,53.55
20,1366,SCI,EQ,809857,347242,42.88
20,1367,SDBL,EQ,123516,72091,58.37
20,1368,SEAMECLTD,EQ,16604,13646,82.19
20,1369,SECURCRED,SM,1800,1800,100.00
20,1370,SELAN,EQ,378371,83305,22.02
20,1371,SELMCL,EQ,27974,21685,77.52
20,1372,SEPOWER,EQ,8989,7632,84.90
20,1373,SEQUENT,EQ,111739,65184,58.34
20,1374,SESHAPAPER,EQ,21942,11334,51.65
20,1375,SETCO,EQ,166344,67934,40.84
20,1376,SETF10GILT,EQ,2,1,50.00
20,1377,SETFGOLD,EQ,3344,1932,57.78
20,1378,SETFNIF50,EQ,6296,5620,89.26
20,1379,SETFNIFBK,EQ,354,303,85.59
20,1380,SETFNN50,EQ,1014,874,86.19
20,1381,SFL,EQ,5175,4502,87.00
20,1382,SGBAUG24,GB,264,257,97.35
20,1383,SGBDEC2512,GB,2,1,50.00
20,1384,SGBDEC2513,GB,2,1,50.00
20,1385,SGBFEB24,GB,26,24,92.31
20,1386,SGBJUL25,GB,49,49,100.00
20,1387,SGBMAR24,GB,24,24,100.00
20,1388,SGBMAR25,GB,75,47,62.67
20,1389,SGBMAY25,GB,93,93,100.00
20,1390,SGBMAY26,GB,2,2,100.00
20,1391,SGBNOV23,GB,56,51,91.07
20,1392,SGBNOV24,GB,122,105,86.07
20,1393,SGBNOV25VI,GB,2,2,100.00
20,1394,SGBOCT25IV,GB,5,5,100.00
20,1395,SGBSEP24,GB,110,110,100.00
20,1396,SGL,EQ,10860,7475,68.83
20,1397,SHAHALLOYS,EQ,16668,13378,80.26
20,1398,SHAKTIPUMP,EQ,79176,20425,25.80
20,1399,SHALBY,EQ,25245,12194,48.30
20,1400,SHALPAINTS,EQ,11278,4960,43.98
20,1401,SHANKARA,EQ,41012,19052,46.45
20,1402,SHANTIGEAR,EQ,11288,6994,61.96
20,1403,SHARDACROP,EQ,9504,6552,68.94
20,1404,SHARDAMOTR,EQ,1897,1258,66.32
20,1405,SHARIABEES,EQ,28,1,3.57
20,1406,SHEMAROO,EQ,2570,1169,45.49
20,1407,SHILPAMED,EQ,76351,31721,41.55
20,1408,SHILPI,EQ,378830,320986,84.73
20,1409,SHIRPUR-G,EQ,3542,3064,86.50
20,1410,SHIVAMAUTO,EQ,41276,24520,59.40
20,1411,SHIVAMILLS,EQ,63975,38419,60.05
20,1412,SHIVATEX,EQ,4634,2662,57.44
20,1413,SHK,EQ,26072,16541,63.44
20,1414,SHOPERSTOP,EQ,26888,17672,65.72
20,1415,SHREECEM,EQ,10750,4999,46.50
20,1416,SHREEPUSHK,EQ,129081,63665,49.32
20,1417,SHREERAMA,EQ,8662,6030,69.61
20,1418,SHRENIK,SM,362500,175000,48.28
20,1419,SHREYANIND,EQ,28790,13576,47.16
20,1420,SHREYAS,EQ,23428,14876,63.50
20,1421,SHRIRAMCIT,EQ,51242,42657,83.25
20,1422,SHRIRAMCIT,ND,200,200,100.00
20,1423,SHRIRAMEPC,EQ,204355,110268,53.96
20,1424,SHYAMCENT,EQ,28987,28777,99.28
20,1425,SHYAMTEL,EQ,73,73,100.00
20,1426,SICAGEN,EQ,39344,33546,85.26
20,1427,SICAL,EQ,17500,13783,78.76
20,1428,SIEMENS,EQ,177325,100553,56.71
20,1429,SIIL,SM,2000,2000,100.00
20,1430,SILINV,EQ,10533,5709,54.20
20,1431,SILVERTUC,SM,6000,6000,100.00
20,1432,SIMBHALS,EQ,6195,4569,73.75
20,1433,SIMPLEX,EQ,17906,13052,72.89
20,1434,SIMPLEXINF,EQ,5159,2026,39.27
20,1435,SINTERCOM,SM,4000,2000,50.00
20,1436,SINTEX,EQ,2126907,686300,32.27
20,1437,SIRCA,SM,85600,45600,53.27
20,1438,SIS,EQ,3219,2773,86.14
20,1439,SITINET,EQ,17963,14086,78.42
20,1440,SIYSIL,EQ,12061,7884,65.37
20,1441,SJVN,EQ,961686,488242,50.77
20,1442,SKFINDIA,EQ,3410,1874,54.96
