RT,SN,SYMBOL,TYPE,DQG,DQ3,TP
20,1752,WSTCSTPAPR,EQ,141100,81966,58.09
20,1753,XCHANGING,EQ,8423,6171,73.26
20,1754,XPROINDIA,EQ,2177,1676,76.99
20,1755,YESBANK,EQ,9262319,3241167,34.99
20,1756,ZEEL,EQ,1467587,847019,57.72
20,1757,ZEEL,P2,2234,2234,100.00
20,1758,ZEELEARN,EQ,419933,301313,71.75
20,1759,ZEEMEDIA,EQ,172706,90026,52.13
20,1760,ZENSARTECH,EQ,244067,62259,25.51
20,1761,ZENTEC,EQ,17515,12126,69.23
20,1762,ZICOM,EQ,26079,17837,68.40
20,1763,ZODIACLOTH,EQ,5131,3089,60.20
20,1764,ZODJRDMKJ,EQ,1036,586,56.56
20,1765,ZOTA,SM,27000,12500,46.30
20,1766,ZUARI,EQ,67318,36957,54.90
20,1767,ZUARIGLOB,EQ,125215,51157,40.86
20,1768,ZYDUSWELL,EQ,14224,10789,75.85
