Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"MARICO","364.05","384.30","361.80","384.05","21.70","5.99","40.54","152.91","384.30","284.15","20.83","9.09"
"NESTLEIND","10,948.00","11,585.00","10,947.40","11,516.00","629.60","5.78","1.94","220.28","11,585.00","6,578.05","73.98","10.80"
"UBL","1,384.00","1,454.70","1,362.10","1,452.80","78.50","5.71","13.82","195.86","1,454.70","775.25","80.87","35.59"
"KAJARIACER","459.30","489.00","450.40","482.30","24.15","5.27","49.18","235.88","767.70","406.00","-24.55","14.56"
"DABUR","465.00","489.35","462.10","483.00","24.20","5.27","112.87","543.04","489.35","296.50","58.75","29.18"
"BATAINDIA","1,032.20","1,082.40","1,030.00","1,081.00","47.00","4.55","20.27","215.11","1,082.40","653.10","61.49","19.58"
"DIVISLAB","1,255.00","1,314.90","1,245.10","1,297.85","50.15","4.02","22.02","284.41","1,314.90","618.20","108.61","20.09"
"MCDOWELL-N","624.80","647.00","616.15","646.20","23.80","3.82","18.86","119.97","801.03","468.01","-74.48","11.55"
"AUROPHARMA","664.00","688.45","663.25","683.95","21.30","3.21","48.50","329.21","809.45","527.00","-1.75","15.86"
"GRANULES","114.90","117.00","113.60","115.55","3.55","3.17","81.06","93.81","150.00","71.55","-8.29","22.40"
"ASHOKLEY","129.00","132.90","127.75","132.30","3.60","2.80","258.65","337.64","167.50","100.00","29.39","21.26"
"GODREJCP","1,390.95","1,451.90","1,367.25","1,422.00","38.25","2.76","12.03","170.78","1,451.90","883.00","57.37","5.54"
"TECHM","710.00","738.00","709.00","728.90","19.50","2.75","115.34","833.34","738.00","410.55","69.08","12.39"
"MRPL","81.50","83.60","80.60","83.55","2.15","2.64","9.90","8.13","146.70","73.35","-32.29","3.53"
"PNB","83.70","85.95","82.00","85.85","2.20","2.63","269.99","225.06","231.45","71.65","-37.61","8.74"
"RAYMOND","787.50","816.00","786.10","803.50","19.65","2.51","18.28","147.24","1,153.00","725.60","7.87","-1.69"
