Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17082018,461001615,0001719
Trade Date <17-AUG-2018>,Settlement Type <N>,Settlement No <2018158>,Settlement Date <21-AUG-2018>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,37576,23209,61.77
20,2,21STCENMGM,EQ,1376,1371,99.64
20,3,3IINFOTECH,EQ,3208235,1068245,33.30
20,4,3MINDIA,EQ,5070,3763,74.22
20,5,5PAISA,EQ,3078,1780,57.83
20,6,63MOONS,EQ,286997,77332,26.95
20,7,8KMILES,EQ,160850,117418,73.00
20,8,A2ZINFRA,EQ,258369,129436,50.10
20,9,AARTIDRUGS,EQ,14131,11302,79.98
20,10,AARTIIND,EQ,47699,35473,74.37
20,11,AARVEEDEN,EQ,19305,18182,94.18
20,12,AARVI,SM,2000,2000,100.00
20,13,ABAN,EQ,361032,68113,18.87
20,14,ABB,EQ,85790,54995,64.10
20,15,ABBOTINDIA,EQ,4807,2795,58.14
20,16,ABCAPITAL,EQ,1346692,784831,58.28
20,17,ABFRL,EQ,1962098,605009,30.83
20,18,ACC,EQ,664502,215533,32.44
20,19,ACCELYA,EQ,2247,2011,89.50
20,20,ACCURACY,SM,24000,6400,26.67
20,21,ACE,EQ,131407,70060,53.32
20,22,ADANIENT,EQ,5498632,369914,6.73
20,23,ADANIGREEN,EQ,4325129,1119257,25.88
20,24,ADANIPORTS,EQ,1983257,686254,34.60
20,25,ADANIPOWER,EQ,18379000,1573015,8.56
20,26,ADANITRANS,EQ,870559,228518,26.25
20,27,ADFFOODS,EQ,41931,28652,68.33
20,28,ADHUNIKIND,EQ,2778,2396,86.25
20,29,ADLABS,EQ,46906,28991,61.81
20,30,ADORWELD,EQ,8153,6108,74.92
20,31,ADSL,EQ,11507,8678,75.41
20,32,ADVANIHOTR,EQ,23749,12179,51.28
20,33,ADVENZYMES,EQ,74500,39852,53.49
20,34,AEGISCHEM,EQ,84811,44805,52.83
20,35,AFL,EQ,31982,22834,71.40
20,36,AGARIND,EQ,985,500,50.76
20,37,AGCNET,EQ,2498,1302,52.12
20,38,AGLSL,EQ,2114,1475,69.77
20,39,AGRITECH,EQ,7546,4719,62.54
20,40,AGROPHOS,SM,42000,6000,14.29
20,41,AHIMSA,SM,6000,6000,100.00
20,42,AHLEAST,EQ,2392,1077,45.03
20,43,AHLUCONT,EQ,1690,1273,75.33
20,44,AHLWEST,EQ,1043,296,28.38
20,45,AIAENG,EQ,28834,13879,48.13
20,46,AIFL,EQ,70183,17072,24.32
20,47,AIRAN,SM,20000,17500,87.50
20,48,AISL,SM,3600,3600,100.00
20,49,AJANTPHARM,EQ,464517,60270,12.97
20,50,AJMERA,EQ,69383,27196,39.20
20,51,AKASH,SM,2000,2000,100.00
20,52,AKSHARCHEM,EQ,4650,3112,66.92
20,53,AKSHOPTFBR,EQ,887840,293063,33.01
20,54,AKZOINDIA,EQ,5220,3478,66.63
20,55,ALANKIT,EQ,773762,163779,21.17
20,56,ALBERTDAVD,EQ,16928,7396,43.69
20,57,ALBK,EQ,4139854,459032,11.09
20,58,ALEMBICLTD,EQ,776266,423125,54.51
20,59,ALICON,EQ,2674,1680,62.83
20,60,ALKALI,EQ,11671,6217,53.27
20,61,ALKEM,EQ,21938,8974,40.91
20,62,ALKYLAMINE,EQ,6210,5578,89.82
20,63,ALLCARGO,EQ,151723,60685,40.00
20,64,ALLSEC,EQ,2402,1745,72.65
20,65,ALPA,EQ,87604,33734,38.51
20,66,ALPHAGEO,EQ,5913,3570,60.38
20,67,AMARAJABAT,EQ,267722,46342,17.31
20,68,AMBANIORG,SM,34000,34000,100.00
20,69,AMBER,EQ,4264,2613,61.28
20,70,AMBIKCO,EQ,3024,2158,71.36
20,71,AMBUJACEM,EQ,1721617,786573,45.69
20,72,AMDIND,EQ,15816,10221,64.62
20,73,AMJLAND,EQ,22383,16438,73.44
20,74,AMRUTANJAN,EQ,11232,10155,90.41
20,75,ANANTRAJ,EQ,603003,265720,44.07
20,76,ANDHRABANK,EQ,2650654,340929,12.86
20,77,ANDHRACEMT,EQ,131089,81756,62.37
20,78,ANDHRSUGAR,EQ,12134,6048,49.84
20,79,ANIKINDS,EQ,3187,2353,73.83
20,80,ANSALAPI,EQ,186038,85092,45.74
20,81,ANSALHSG,EQ,111165,36423,32.76
20,82,APARINDS,EQ,18206,11999,65.91
20,83,APCL,EQ,2217,1391,62.74
20,84,APCOTEXIND,EQ,13056,8339,63.87
20,85,APEX,EQ,71796,30058,41.87
20,86,APLAPOLLO,EQ,7554,4803,63.58
20,87,APLLTD,EQ,59182,25688,43.41
20,88,APOLLO,EQ,13580,8121,59.80
20,89,APOLLOHOSP,EQ,4204744,391606,9.31
20,90,APOLLOTYRE,EQ,1804401,446518,24.75
20,91,APOLSINHOT,EQ,2286,2161,94.53
20,92,APTECHT,EQ,101255,29525,29.16
20,93,ARCHIDPLY,EQ,23699,19283,81.37
20,94,ARCHIES,EQ,39935,27647,69.23
20,95,ARIES,EQ,121620,36763,30.23
20,96,ARIHANT,EQ,306,302,98.69
20,97,ARIHANTSUP,EQ,59848,26168,43.72
20,98,ARMANFIN,EQ,1551,1286,82.91
20,99,AROGRANITE,EQ,6579,5562,84.54
20,100,ARROWGREEN,EQ,6845,6845,100.00
20,101,ARROWTEX,EQ,13827,12527,90.60
20,102,ARSHIYA,EQ,6518,4043,62.03
20,103,ARVIND,EQ,1129617,220161,19.49
20,104,ARVSMART,EQ,4508,2628,58.30
20,105,ASAHIINDIA,EQ,29959,26554,88.63
20,106,ASAHISONG,EQ,3195,2216,69.36
20,107,ASAL,EQ,11219,4801,42.79
20,108,ASHAPURMIN,EQ,72335,34027,47.04
20,109,ASHIANA,EQ,24435,21430,87.70
20,110,ASHIMASYN,EQ,107658,97201,90.29
20,111,ASHOKA,EQ,148992,57944,38.89
20,112,ASHOKLEY,EQ,13836217,2377764,17.19
20,113,ASIANHOTNR,EQ,1548,843,54.46
20,114,ASIANPAINT,EQ,537229,206636,38.46
20,115,ASIANTILES,EQ,342987,255167,74.40
20,116,ASPINWALL,EQ,7782,6374,81.91
20,117,ASTEC,EQ,6878,4552,66.18
20,118,ASTERDM,EQ,347690,194822,56.03
20,119,ASTRAL,EQ,14390,8642,60.06
20,120,ASTRAMICRO,EQ,279117,161474,57.85
20,121,ASTRAZEN,EQ,111435,29229,26.23
20,122,ASTRON,EQ,183867,53358,29.02
20,123,ATFL,EQ,17488,13027,74.49
20,124,ATLANTA,EQ,73055,44856,61.40
20,125,ATUL,EQ,6852,4373,63.82
20,126,ATULAUTO,EQ,5803,3482,60.00
20,127,AUBANK,EQ,530288,350630,66.12
20,128,AUROPHARMA,EQ,6687761,2175207,32.53
20,129,AUSOMENT,EQ,10095,4977,49.30
20,130,AUTOAXLES,EQ,72935,44994,61.69
20,131,AUTOIND,EQ,16319,8596,52.67
20,132,AUTOLITIND,EQ,5914,4041,68.33
20,133,AVADHSUGAR,EQ,5664,2003,35.36
20,134,AVANTIFEED,EQ,350821,134663,38.39
20,135,AVG,SM,1200,1200,100.00
20,136,AVONMPL,SM,10000,8000,80.00
20,137,AVTNPL,EQ,22370,15373,68.72
20,138,AXISBANK,EQ,13411536,5973971,44.54
20,139,AXISCADES,EQ,38920,17462,44.87
20,140,AXISGOLD,EQ,43,39,90.70
20,141,AXISNIFTY,EQ,26,25,96.15
20,142,AYMSYNTEX,EQ,12887,10822,83.98
20,143,BAFNAPHARM,EQ,38132,21177,55.54
20,144,BAGFILMS,EQ,1363560,456667,33.49
20,145,BAJAJ-AUTO,EQ,331427,147409,44.48
20,146,BAJAJCORP,EQ,13021,6457,49.59
20,147,BAJAJELEC,EQ,300194,77090,25.68
20,148,BAJAJFINSV,EQ,120981,40325,33.33
20,149,BAJAJHIND,EQ,666333,404411,60.69
20,150,BAJAJHLDNG,EQ,7437,4890,65.75
20,151,BAJFINANCE,EQ,688133,186767,27.14
20,152,BALAJITELE,EQ,49799,43763,87.88
20,153,BALAMINES,EQ,28148,17310,61.50
20,154,BALKRISHNA,EQ,32846,15731,47.89
20,155,BALKRISIND,EQ,1993941,464735,23.31
20,156,BALLARPUR,EQ,1118004,534837,47.84
20,157,BALMLAWRIE,EQ,124472,89328,71.77
20,158,BALPHARMA,EQ,79202,42021,53.06
20,159,BALRAMCHIN,EQ,2760895,1142576,41.38
20,160,BANARBEADS,EQ,60,60,100.00
20,161,BANARISUG,EQ,2658,2103,79.12
20,162,BANCOINDIA,EQ,28415,17471,61.49
20,163,BANDHANBNK,EQ,723488,489872,67.71
20,164,BANG,EQ,18717,10422,55.68
20,165,BANKBARODA,EQ,12400330,1438645,11.60
20,166,BANKBEES,EQ,395,301,76.20
20,167,BANKINDIA,EQ,12970922,1367542,10.54
20,168,BANSAL,SM,49000,36000,73.47
20,169,BANSWRAS,EQ,2160,1544,71.48
20,170,BARTRONICS,EQ,59166,19429,32.84
20,171,BASF,EQ,10076,4258,42.26
20,172,BASML,EQ,539,356,66.05
20,173,BATAINDIA,EQ,1009857,125688,12.45
20,174,BAYERCROP,EQ,13787,7968,57.79
20,175,BBL,EQ,8097,4375,54.03
20,176,BBTC,EQ,57887,19831,34.26
20,177,BDL,EQ,17806,13597,76.36
20,178,BEARDSELL,EQ,4351,3532,81.18
20,179,BEDMUTHA,EQ,12174,10874,89.32
20,180,BEL,EQ,3913927,1100145,28.11
20,181,BEML,EQ,1133745,97256,8.58
20,182,BEPL,EQ,194464,85391,43.91
20,183,BERGEPAINT,EQ,2530095,702116,27.75
20,184,BETA,SM,8000,4000,50.00
20,185,BFINVEST,EQ,853714,112348,13.16
20,186,BFUTILITIE,EQ,502608,90412,17.99
20,187,BGRENERGY,EQ,183722,84275,45.87
20,188,BHAGERIA,EQ,9872,6597,66.83
20,189,BHAGYAPROP,EQ,4857,4594,94.59
20,190,BHANDARI,EQ,155784,113134,72.62
20,191,BHARATFIN,EQ,602856,418844,69.48
20,192,BHARATFORG,EQ,960299,378086,39.37
20,193,BHARATGEAR,EQ,13954,8789,62.99
20,194,BHARATRAS,EQ,1837,1040,56.61
20,195,BHARATWIRE,EQ,53458,31445,58.82
20,196,BHARTIARTL,EQ,3030830,1126618,37.17
20,197,BHEL,EQ,5001845,1412727,28.24
20,198,BHUSANSTL,EQ,756927,479125,63.30
20,199,BIGBLOC,EQ,6024,2230,37.02
20,200,BIL,EQ,4965,613,12.35
20,201,BINANIIND,EQ,31798,22434,70.55
20,202,BINDALAGRO,EQ,40579,26644,65.66
20,203,BIOCON,EQ,2225295,373088,16.77
