Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"BERGEPAINT","334.80","338.00","329.20","333.10","-1.15","-0.34","8.52","28.49","338.00","230.55","37.59","8.77"
"UBL","1,379.90","1,406.75","1,370.00","1,381.10","-4.65","-0.34","8.54","118.32","1,420.00","775.25","71.37","24.46"
"VGUARD","215.75","216.70","213.05","214.15","-0.75","-0.35","5.14","11.03","254.90","176.95","19.24","15.29"
"M&MFIN","484.95","484.95","476.45","479.20","-1.70","-0.35","10.03","48.15","534.00","386.10","13.85","0.64"
"BAJFINANCE","2,877.95","2,877.95","2,836.30","2,840.85","-10.35","-0.36","6.65","189.93","2,908.00","1,511.20","64.33","14.15"
"BAJAJFINSV","7,129.00","7,159.90","7,050.00","7,071.00","-26.35","-0.37","0.92","65.17","7,200.00","4,500.00","33.30","11.08"
"AXISBANK","630.00","630.60","622.10","625.00","-2.30","-0.37","64.63","404.63","635.00","447.50","25.72","18.70"
"BALKRISIND","1,375.00","1,400.00","1,346.20","1,361.85","-5.50","-0.40","10.53","144.46","1,437.95","718.50","-10.64","18.61"
"GRANULES","112.00","112.90","110.10","110.55","-0.50","-0.45","43.14","48.11","150.00","71.55","-12.82","22.56"
"ICICIPRULI","393.85","396.90","386.10","387.90","-1.80","-0.46","15.16","59.02","462.20","347.25","-8.78","8.90"
"TATACOMM","556.25","563.15","547.00","551.20","-2.65","-0.48","2.37","13.12","754.00","534.50","-14.04","0.86"
"MANAPPURAM","101.10","102.35","99.65","100.35","-0.50","-0.50","45.14","45.42","130.45","83.25","14.29","0.20"
"EICHERMOT","28,689.70","28,800.00","28,076.00","28,310.55","-165.60","-0.58","0.45","127.22","33,480.00","26,208.05","-8.46","4.00"
"HINDUNILVR","1,790.00","1,808.65","1,773.20","1,773.80","-10.95","-0.61","9.25","165.53","1,808.65","1,165.00","50.67","7.91"
"ICICIBANK","340.00","342.45","336.70","337.90","-2.10","-0.62","130.33","442.49","365.70","255.00","15.27","28.63"
"TATACHEM","714.95","715.30","697.75","703.00","-4.80","-0.68","12.15","85.56","787.50","568.10","18.88","5.33"
"GRASIM","1,045.00","1,050.00","1,033.00","1,038.00","-7.85","-0.75","14.81","154.08","1,300.00","914.20","-5.70","10.00"
"CEATLTD","1,441.10","1,443.40","1,416.75","1,427.00","-11.10","-0.77","5.34","76.33","2,019.00","1,227.15","-17.58","14.06"
"TATAELXSI","1,430.00","1,433.75","1,414.65","1,421.00","-11.10","-0.78","2.83","40.29","1,490.90","792.30","68.58","0.28"
"NBCC","73.95","74.40","73.35","73.70","-0.60","-0.81","26.73","19.71","291.30","60.60","-64.45","19.26"
"MARUTI","9,170.70","9,217.80","9,062.00","9,075.00","-77.10","-0.84","4.49","409.19","9,996.40","7,475.10","19.68","-3.12"
"LICHSGFIN","560.00","561.00","552.50","553.00","-4.80","-0.86","7.04","39.13","689.55","455.40","-16.39","7.01"
"DABUR","456.90","457.80","448.30","452.15","-4.05","-0.89","33.13","149.70","459.00","296.50","46.83","20.81"
"NIITTECH","1,325.10","1,329.90","1,309.55","1,317.00","-14.25","-1.07","3.87","50.99","1,347.95","476.40","163.87","17.59"
"SRF","1,999.00","2,010.15","1,961.95","1,968.00","-22.65","-1.14","2.43","48.16","2,446.60","1,432.80","32.02","22.87"
"JPASSOCIAT","13.15","13.20","12.90","12.95","-0.15","-1.15","151.55","19.79","27.30","12.30","-44.89","-13.38"
"TORNTPHARM","1,777.00","1,790.55","1,729.60","1,744.50","-21.40","-1.21","5.10","89.49","1,790.55","1,147.30","33.00","21.01"
"LUPIN","882.00","892.00","867.00","870.45","-10.80","-1.23","22.89","200.37","1,090.00","723.65","-8.75","7.33"
"PCJEWELLER","100.30","101.00","97.10","98.60","-1.30","-1.30","98.68","97.66","600.65","65.30","-72.34","26.33"
"CHOLAFIN","1,496.90","1,510.00","1,463.60","1,468.00","-19.40","-1.30","2.74","40.83","1,760.05","1,051.95","27.06","-4.08"
"HCLTECH","1,005.00","1,006.50","987.00","989.00","-14.05","-1.40","14.15","140.42","1,108.00","824.85","13.50","-0.09"
"CONCOR","641.00","642.40","627.30","629.00","-9.50","-1.49","3.41","21.53","750.00","583.83","-49.35","-3.30"
"MCDOWELL-N","636.10","644.00","627.00","629.00","-9.65","-1.51","10.51","66.72","801.03","468.01","-75.82","12.85"
"MARICO","370.85","371.50","363.10","365.55","-5.60","-1.51","12.20","44.58","374.75","284.15","14.29","4.65"
"APOLLOTYRE","264.60","266.50","261.20","262.20","-4.50","-1.69","44.48","116.74","307.25","228.15","-2.62","-3.60"
"MUTHOOTFIN","403.70","407.95","390.00","398.00","-7.50","-1.85","9.00","35.78","525.50","363.50","-14.18","-0.62"
"TITAN","942.00","943.50","914.15","923.00","-18.55","-1.97","25.30","234.46","999.70","563.65","48.51","9.08"
"KPIT","295.00","295.70","288.00","288.35","-5.95","-2.02","17.20","50.01","309.95","109.10","150.52","-4.27"
"RAYMOND","799.70","802.75","773.55","778.00","-17.60","-2.21","12.88","101.68","1,153.00","725.60","4.29","-4.77"
"GAIL","390.10","392.00","375.00","378.55","-9.15","-2.36","50.36","191.35","399.40","277.51","0.62","5.43"
"SOUTHBANK","18.25","18.30","17.65","17.85","-0.50","-2.72","185.17","33.05","34.75","17.65","-35.91","-17.55"
"INFY","1,388.00","1,407.95","1,373.50","1,388.20","-42.15","-2.95","80.51","1,118.31","1,437.65","860.00","35.98","4.96"
"FEDERALBNK","86.30","86.30","80.70","81.55","-4.70","-5.45","651.43","533.00","127.65","73.50","-25.90","-5.12"

