Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"JETAIRWAYS","289.90","303.95","289.00","302.00","18.55","6.54","102.76","302.81","883.45","258.00","-46.52","-1.26"
"HCC","11.75","13.25","11.55","12.40","0.70","5.98","225.18","28.24","44.95","9.45","-64.62","16.98"
"UBL","1,326.00","1,413.70","1,316.10","1,413.70","77.65","5.81","15.91","218.21","1,413.70","775.25","77.28","23.28"
"NBCC","71.90","75.80","71.50","75.65","3.30","4.56","72.57","53.92","291.30","60.60","-63.37","23.01"
"BALKRISIND","1,335.05","1,412.00","1,334.70","1,395.15","60.50","4.53","25.54","355.40","1,412.00","718.50","-8.89","22.68"
"GAIL","379.70","399.40","379.10","393.50","13.70","3.61","151.46","597.85","399.40","277.36","5.64","10.60"
"DRREDDY","2,275.35","2,361.45","2,270.85","2,357.60","79.15","3.47","8.96","208.22","2,615.00","1,887.00","17.76","12.59"
"SUNPHARMA","610.00","621.70","602.20","621.00","19.20","3.19","251.69","1,542.26","621.70","432.70","31.62","16.30"
"GODREJCP","1,300.00","1,347.50","1,295.80","1,335.00","40.25","3.11","8.62","114.32","1,379.00","883.00","45.51","2.63"
"MINDTREE","1,008.50","1,055.00","1,007.00","1,040.15","30.40","3.01","24.38","253.38","1,101.20","439.05","122.61","-3.75"
"STAR","419.35","434.40","415.10","432.90","12.60","3.00","29.69","127.21","1,041.10","333.30","-52.45","22.46"
"TATACHEM","680.25","704.90","674.00","696.20","18.45","2.72","15.10","105.27","787.50","568.10","17.60","4.00"
"PNB","79.15","82.75","78.65","82.05","2.15","2.69","398.93","324.45","231.45","71.65","-42.70","11.10"
"DISHTV","67.20","70.10","65.65","69.15","1.80","2.67","40.13","27.08","86.90","63.70","-5.79","0.66"
"BERGEPAINT","323.25","332.00","320.15","332.00","8.00","2.47","11.80","38.48","332.00","230.55","34.20","10.83"
"DLF","201.35","208.85","198.55","207.30","4.50","2.22","99.90","203.84","273.85","158.20","14.12","16.43"
"IDBI","59.90","63.30","59.50","61.65","1.30","2.15","218.44","134.61","91.50","47.00","17.88","9.21"
"NCC","99.35","103.25","98.40","101.70","1.90","1.90","164.37","167.26","141.40","77.55","17.91","27.20"
"AJANTPHARM","1,170.00","1,198.70","1,161.45","1,188.70","20.50","1.75","4.41","52.33","1,595.00","895.85","-4.01","22.64"
"SRF","1,928.00","1,975.00","1,910.95","1,966.95","33.05","1.71","6.00","117.54","2,446.60","1,432.80","34.11","24.14"
"CAPF","592.25","613.00","589.15","607.45","9.95","1.67","7.37","44.65","901.85","475.00","-16.86","26.25"
"WOCKPHARMA","610.60","623.75","607.50","619.90","10.15","1.66","15.93","98.23","1,012.00","530.65","9.78","4.49"
"IDFCBANK","44.35","45.70","43.60","45.25","0.70","1.57","129.50","58.28","70.40","35.80","-16.90","25.35"
"GRANULES","103.90","108.10","103.50","106.40","1.60","1.53","27.43","29.17","150.00","71.55","-8.35","20.50"
"LUPIN","833.90","851.70","826.00","849.20","12.45","1.49","24.35","204.84","1,090.00","723.65","-12.17","3.80"
"INFY","1,414.95","1,434.90","1,411.25","1,429.00","20.70","1.47","33.13","472.76","1,434.90","860.00","45.60","7.21"
"GODREJIND","605.00","613.80","598.10","612.55","8.85","1.47","2.42","14.69","657.90","512.55","6.29","6.56"
"BHARTIARTL","366.55","374.00","365.20","372.30","5.30","1.44","27.15","100.45","564.80","331.00","-8.87","7.17"
