RT,SN,SYMBOL,TYPE,DQG,DQ3,TP
20,1189,PIIND,EQ,113346,74264,65.52
20,1190,PILITA,EQ,23752,3685,15.51
20,1191,PIONDIST,EQ,40302,14762,36.63
20,1192,PIONEEREMB,EQ,166667,46864,28.12
20,1193,PITTIENG,EQ,47005,36035,76.66
20,1194,PLASTIBLEN,EQ,6980,6495,93.05
20,1195,PNB,EQ,16719748,3447729,20.62
20,1196,PNBGILTS,EQ,268397,119131,44.39
20,1197,PNBHOUSING,EQ,314130,143177,45.58
20,1198,PNC,EQ,2675,1801,67.33
20,1199,PNCINFRA,EQ,262756,230588,87.76
20,1200,POCHIRAJU,EQ,1793,1793,100.00
20,1201,PODDARHOUS,EQ,764,746,97.64
20,1202,PODDARMENT,EQ,7074,5466,77.27
20,1203,POKARNA,EQ,57903,47802,82.56
20,1204,POLYMED,EQ,103905,36964,35.57
20,1205,POLYPLEX,EQ,24929,18201,73.01
20,1206,PONNIERODE,EQ,944,370,39.19
20,1207,POWERGRID,EQ,2055992,1258004,61.19
20,1208,POWERMECH,EQ,11280,10550,93.53
20,1209,PPAP,EQ,7069,5036,71.24
20,1210,PRABHAT,EQ,32199,13564,42.13
20,1211,PRAENG,EQ,5082,3366,66.23
20,1212,PRAJIND,EQ,559617,337411,60.29
20,1213,PRAKASH,EQ,623314,193557,31.05
20,1214,PRAKASHCON,EQ,166556,119459,71.72
20,1215,PRAXIS,EQ,79957,66783,83.52
20,1216,PRECAM,EQ,72148,68917,95.52
20,1217,PRECOT,EQ,27541,8552,31.05
20,1218,PRECWIRE,EQ,12067,6909,57.26
20,1219,PREMEXPLN,EQ,9690,7154,73.83
20,1220,PREMIER,EQ,4838,3731,77.12
20,1221,PREMIERPOL,EQ,16235,14827,91.33
20,1222,PRESSMN,EQ,15449,9793,63.39
20,1223,PRESTIGE,EQ,42168,31669,75.10
20,1224,PRICOLLTD,EQ,94410,62870,66.59
20,1225,PRIMESECU,EQ,15897,11483,72.23
20,1226,PRITI,SM,8000,6400,80.00
20,1227,PROVOGE,EQ,59281,40557,68.41
20,1228,PROZONINTU,EQ,419950,114877,27.35
20,1229,PRSMJOHNSN,EQ,1281545,593340,46.30
20,1230,PSB,EQ,51280,43484,84.80
20,1231,PSL,EQ,90932,74772,82.23
20,1232,PSPPROJECT,EQ,13215,10248,77.55
20,1233,PSUBNKBEES,EQ,2051,1820,88.74
20,1234,PTC,EQ,2512919,923310,36.74
20,1235,PTL,EQ,25138,15480,61.58
20,1236,PUNJABCHEM,EQ,8255,5419,65.65
20,1237,PUNJLLOYD,EQ,386533,182560,47.23
20,1238,PURVA,EQ,159875,66753,41.75
20,1239,PVP,EQ,74898,63746,85.11
